Date,Open,High,Low,Close,Close,Volume
10/8/2021,158.460007,159.5,153.589996,154.360001,154.360001,1205100
10/11/2021,154.75,165.460007,154.75,161.259995,161.259995,2146100
10/12/2021,162.119995,172.100006,162.119995,169.839996,169.839996,2438500
10/13/2021,171.929993,175.910004,169.820007,173.210007,173.210007,2118300
10/14/2021,175.600006,176.630005,170.440002,173.779999,173.779999,1541300
10/15/2021,174.589996,175.960007,171.089996,172.919998,172.919998,2037800
10/18/2021,171.389999,181.119995,171.279999,179.970001,179.970001,1900500
10/19/2021,181,190.869995,180.100006,187.059998,187.059998,2834400
10/20/2021,186.229996,187,177.339996,180.100006,180.100006,2250100
10/21/2021,179.470001,184.779999,177.960007,179.800003,179.800003,2393700
10/22/2021,181.470001,181.470001,174.330002,176.699997,176.699997,1624100
10/25/2021,178.679993,181.240005,176.919998,179.429993,179.429993,1367500
10/26/2021,181.619995,183.380005,170.419998,173.460007,173.460007,2975000
10/27/2021,205.5,225.399994,204.039993,216.220001,216.220001,15168400
10/28/2021,216.220001,227.589996,210.669998,224.460007,224.460007,5733400
10/29/2021,225,237,225,231.630005,231.630005,4171300
11/1/2021,233.039993,239.889999,232.119995,239.529999,239.529999,2631000
11/2/2021,238.050003,239.029999,228.529999,237.610001,237.610001,2762900
11/3/2021,234.449997,238.880005,231.070007,236.580002,236.580002,2158500
11/4/2021,236.690002,243.119995,232.669998,242.600006,242.600006,2162600
11/5/2021,242.119995,244.880005,234.259995,237.899994,237.899994,1835500
11/8/2021,241.160004,246.539993,239,241.619995,241.619995,1242700
11/9/2021,243.550003,244.380005,232.559998,239.389999,239.389999,1214800
11/10/2021,228.729996,237.830002,227.600006,231.479996,231.479996,1422200
11/11/2021,235.410004,252.050003,235.309998,250.490005,250.490005,2661100
11/12/2021,251.5,254.699997,248.190002,251.619995,251.619995,1600600
11/15/2021,253.639999,253.990005,241.610001,244.710007,244.710007,1715600
11/16/2021,245.369995,253.600006,239.550003,251.589996,251.589996,2242800
11/17/2021,252.009995,260.559998,250.520004,254.860001,254.860001,1772100
11/18/2021,258.320007,259.75,249.020004,254.479996,254.479996,1537400
11/19/2021,255.830002,272,255.020004,267.73999,267.73999,2720000
11/22/2021,269.160004,282.459991,260.579987,261.119995,261.119995,3026700
11/23/2021,258.079987,265.26001,245.740005,250.5,250.5,2598300
11/24/2021,251.880005,255.919998,242.869995,255.100006,255.100006,1541800
11/26/2021,250.389999,259,243.619995,247.419998,247.419998,1476200
11/29/2021,253.630005,257.700012,250.050003,256.709991,256.709991,1513400
11/30/2021,252.990005,259.399994,243.889999,250,250,2793200
12/1/2021,253.389999,255.089996,234.619995,236.860001,236.860001,2056400
12/2/2021,237,244.960007,230.179993,235,235,1949100
