Date,Open,High,Low,Close,Adj Close,Volume
2021-10-15,1.190000,1.460000,1.190000,1.370000,1.370000,204569500
2021-10-18,1.390000,1.490000,1.370000,1.390000,1.390000,95436400
2021-10-19,1.380000,1.820000,1.320000,1.690000,1.690000,381198400
2021-10-20,1.850000,1.920000,1.560000,1.810000,1.810000,266931200
2021-10-21,1.700000,1.760000,1.580000,1.620000,1.620000,147025000
2021-10-22,1.390000,1.550000,1.330000,1.440000,1.440000,150384400
2021-10-25,1.340000,1.550000,1.330000,1.440000,1.440000,90232800
2021-10-26,1.410000,1.420000,1.320000,1.330000,1.330000,63780400
2021-10-27,1.300000,1.410000,1.260000,1.300000,1.300000,58107900
2021-10-28,1.300000,1.350000,1.230000,1.330000,1.330000,58829100
2021-10-29,1.260000,1.330000,1.260000,1.300000,1.300000,29234700
2021-11-01,1.270000,1.290000,1.200000,1.220000,1.220000,48793500
2021-11-02,1.230000,1.260000,1.170000,1.230000,1.230000,60259600
2021-11-03,1.190000,1.300000,1.170000,1.250000,1.250000,61745200
2021-11-04,1.240000,1.270000,1.200000,1.240000,1.240000,34749300
2021-11-05,1.200000,1.380000,1.200000,1.320000,1.320000,67012000
2021-11-08,1.330000,1.350000,1.230000,1.250000,1.250000,37810700
2021-11-09,1.250000,1.260000,1.200000,1.220000,1.220000,42915900
2021-11-10,1.140000,1.150000,1.090000,1.100000,1.100000,40937800
2021-11-11,1.090000,1.170000,1.080000,1.140000,1.140000,25106500
2021-11-12,1.120000,1.120000,1.060000,1.090000,1.090000,25680900
2021-11-15,1.080000,1.090000,1.020000,1.040000,1.040000,27897300
2021-11-16,1.020000,1.170000,1.020000,1.110000,1.110000,47676500
2021-11-17,1.340000,1.510000,1.270000,1.440000,1.440000,281082000
2021-11-18,1.380000,1.380000,1.200000,1.270000,1.270000,103719000
2021-11-19,1.190000,1.270000,1.190000,1.210000,1.210000,65148800
2021-11-22,1.380000,1.530000,1.360000,1.450000,1.450000,230605600
2021-11-23,1.410000,1.410000,1.230000,1.340000,1.340000,83494000
2021-11-24,1.280000,1.390000,1.250000,1.370000,1.370000,44065100
2021-11-26,1.270000,1.380000,1.250000,1.370000,1.370000,28657200
